,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
5138,FUL,35.03,2016-01-27,9244592.15,FUL,50.07,2017-01-26,16592346.81
5139,FUL,49.42,2017-01-31,26388204.36,FUL,53.32,2018-01-31,50453730.08
5140,FUL,53.32,2018-01-31,50453730.08,FUL,48.66,2019-01-31,35177043.9
5141,G,15.37,2010-02-23,6290941.0,G,14.07,2011-02-23,9857442.0
5142,G,14.08,2011-03-01,12396032.0,G,15.98,2012-02-29,5877444.0
5143,G,15.98,2012-02-29,5877444.0,G,17.69,2013-02-28,21378365.0
5144,G,17.56,2013-03-01,36919900.0,G,16.55,2014-03-03,68576580.0
5145,G,16.25,2014-02-28,32381375.0,G,22.3,2015-03-02,19078073.7
5146,G,22.48,2015-02-27,10504993.92,G,26.6,2016-02-29,20897066.400000002
5147,G,26.57,2016-02-26,19855017.04,G,24.81,2017-02-27,26696180.25
5148,G,24.39,2017-03-01,47399184.54,G,31.35,2018-03-01,26029905.0
5149,G,31.35,2018-03-01,26029905.0,G,33.45,2019-03-01,46931186.25000001
5150,GB,24.98,2011-03-01,3177780.74,GB,25.56,2012-02-29,5780828.52
5151,GB,25.44,2012-02-28,4075895.04,GB,26.87,2013-02-27,6852091.83
5152,GB,26.87,2013-02-27,6852091.83,GB,43.13,2014-02-27,7548612.600000001
5153,GB,44.6,2014-03-04,12993496.4,GB,54.12,2015-03-04,7596932.64
5154,GB,54.14,2015-03-03,8028204.04,GB,32.06,2016-03-02,16337904.240000002
5155,GB,37.38,2016-03-01,45562519.38,GB,36.85,2017-03-01,11590062.0
5156,GB,35.95,2017-02-28,17063739.400000002,GB,51.8,2018-02-28,11033762.6
5157,GB,45.55,2018-02-22,5553273.8,GB,87.32,2019-02-22,16118660.759999998
5158,GBT,13.39,2016-02-11,4603441.83,GBT,19.7,2017-02-10,39236253.6
5159,GBT,36.95,2017-03-13,49128683.050000004,GBT,54.5,2018-03-13,81713539.5
5160,GBT,62.6,2018-02-27,27664505.0,GBT,53.04,2019-02-27,28576732.08
5161,GBX,21.12,2011-11-04,12101760.0,GBX,13.9,2012-11-05,14469900.0
5162,GBX,15.86,2012-11-01,38154402.0,GBX,27.8,2013-11-01,40935500.0
5163,GBX,26.66,2013-10-31,28400898.0,GBX,62.6,2014-10-31,81704205.4
5164,GBX,61.8,2014-10-30,117423522.6,GBX,37.41,2015-10-30,68968814.13
5165,GBX,37.41,2015-10-30,68968814.13,GBX,30.6,2016-10-31,15486323.4
5166,GBX,34.2,2016-10-25,44663763.6,GBX,51.75,2017-10-25,10566470.25
5167,GBX,50.65,2017-10-27,36534503.449999996,GBX,49.52,2018-10-29,51900971.120000005
5168,GBX,52.84,2018-10-26,81193309.92,GBX,31.15,2019-10-28,18916647.4
5169,GCI,23.74,2015-02-06,7292904.26,GCI,15.67,2016-02-08,5011344.35
5170,GCI,16.25,2016-02-25,7070521.25,GCI,15.1,2017-02-24,7844117.8
5171,GCI,15.0,2017-02-22,12691050.0,GCI,15.79,2018-02-22,2565164.4499999997
5172,GCI,17.69,2018-02-28,15740650.450000001,GCI,13.15,2019-02-28,10491701.200000001
5173,GCO,40.1,2011-03-08,12579370.0,GCO,73.52,2012-03-07,15814152.0
5174,GCO,74.37,2012-04-26,34715916.0,GCO,60.12,2013-04-26,5278536.0
5175,GCO,57.97,2013-04-03,8121597.0,GCO,76.55,2014-04-03,11145680.0
5176,GCO,76.55,2014-04-03,11145680.0,GCO,71.43,2015-04-06,5804973.24
5177,GCO,70.96,2015-04-01,7947945.759999999,GCO,71.33,2016-03-31,17349167.919999998
5178,GCO,72.27,2016-03-30,13800245.58,GCO,56.55,2017-03-30,24985938.9
5179,GCO,56.15,2017-03-29,14428472.45,GCO,39.85,2018-03-29,10112654.8
5180,GCO,39.25,2018-04-04,13271484.75,GCO,44.08,2019-04-04,15745067.44
5181,GD,51.22,2009-02-20,209013454.0,GD,72.62,2010-02-22,127368218.00000001
5182,GD,71.64,2010-02-19,177301836.0,GD,77.3,2011-02-22,106001490.0
5183,GD,77.85,2011-02-18,153465705.0,GD,71.22,2012-02-21,94530306.0
5184,GD,70.8,2012-02-17,79005720.0,GD,66.52,2013-02-19,159089232.0
5185,GD,66.74,2013-02-08,140100608.0,GD,103.2,2014-02-10,284790720.0
5186,GD,101.87,2014-02-07,321797143.0,GD,138.65,2015-02-09,263732820.20000002
5187,GD,138.65,2015-02-09,263732820.20000002,GD,130.47,2016-02-09,287741930.21999997
5188,GD,132.32,2016-02-08,256845955.04,GD,183.91,2017-02-07,281855500.43
5189,GD,183.4,2017-02-06,202980517.6,GD,206.32,2018-02-06,590944632.48
5190,GD,214.17,2018-02-12,576925577.5799999,GD,171.63,2019-02-12,223708034.16
5191,GDDY,30.66,2016-04-05,78125451.18,GDDY,37.19,2017-04-05,25573182.84
5192,GDDY,37.14,2017-02-28,29685630.6,GDDY,60.16,2018-02-28,107437518.08
5193,GDDY,61.0,2018-02-27,82991903.0,GDDY,74.8,2019-02-27,235926904.39999998
5194,GDOT,53.25,2011-02-28,8184525.0,GDOT,31.45,2012-02-28,4956520.0
5195,GDOT,26.85,2012-03-30,11306535.0,GDOT,16.78,2013-04-01,11358382.0
5196,GDOT,25.2,2013-08-09,8731800.0,GDOT,18.6,2014-08-11,4231500.0
5197,GDOT,20.05,2014-03-03,8643555.0,GDOT,15.79,2015-03-03,8035688.899999999
5198,GDOT,15.53,2015-03-02,7779924.33,GDOT,20.98,2016-03-01,11160143.16
5199,GDOT,20.41,2016-02-29,26313735.37,GDOT,29.85,2017-02-28,8346925.65
5200,GDOT,29.5,2017-02-27,15346106.5,GDOT,66.5,2018-02-27,41487953.5
5201,GDOT,66.5,2018-02-27,41487953.5,GDOT,62.64,2019-02-27,40737610.8
5202,GE,11.09,2009-02-18,1056638565.0,GE,16.1,2010-02-18,762069350.0000001
5203,GE,16.14,2010-02-19,1052353824.0,GE,20.88,2011-02-22,1514223864.0
5204,GE,20.71,2011-02-25,946181912.0,GE,19.02,2012-02-27,713666538.0
5205,GE,19.36,2012-02-24,463184128.0,GE,23.5,2013-02-25,1213065300.0
5206,GE,22.97,2013-02-26,949035411.0,GE,25.33,2014-02-26,754438852.0
5207,GE,25.21,2014-02-27,575125814.0,GE,25.83,2015-02-27,1330930889.82
5208,GE,25.83,2015-02-27,1330930889.82,GE,29.44,2016-02-29,1005451336.96
5209,GE,29.3,2016-02-26,859729653.7,GE,30.05,2017-02-27,707712087.5500001
5210,GE,29.84,2017-02-24,815230978.32,GE,14.39,2018-02-26,2084450311.93
5211,GE,14.53,2018-02-23,760031839.98,GE,11.57,2019-02-25,3357989168.82
5212,GENC,4.5,2010-12-22,99900.0,GENC,4.49,2011-12-22,33675.0
5213,GENC,4.63,2011-12-16,17131.0,GENC,5.03,2012-12-17,26156.0
5214,GENC,5.14,2012-12-14,225646.0,GENC,6.21,2013-12-16,219834.0
5215,GENC,6.26,2013-12-13,377478.0,GENC,6.2,2014-12-15,22320.0
5216,GENC,6.6,2014-12-09,342540.0,GENC,8.23,2015-12-09,639471.0
5217,GENC,8.23,2015-12-09,639471.0,GENC,15.4,2016-12-08,826980.0
5218,GENC,15.35,2016-12-02,5050150.0,GENC,18.14,2017-12-04,317377.44
5219,GENC,17.6,2017-12-06,1203153.6,GENC,11.01,2018-12-06,200811.38999999998
5220,GENC,10.71,2018-12-13,146255.76,GENC,12.35,2019-12-13,569273.25
5221,GEO,12.85,2010-02-22,13931970.0,GEO,16.56,2011-02-22,6799535.999999999
5222,GEO,16.36,2011-03-02,5595120.0,GEO,11.77,2012-03-01,10927268.0
5223,GEO,11.77,2012-03-01,10927268.0,GEO,22.94,2013-03-01,24972484.0
5224,GEO,22.94,2013-03-01,24972484.0,GEO,21.38,2014-03-03,7893496.0
5225,GEO,21.38,2014-03-03,7893496.0,GEO,29.19,2015-03-03,11995075.89
5226,GEO,28.25,2015-02-26,5661780.25,GEO,19.05,2016-02-26,8304409.350000001
5227,GEO,19.05,2016-02-26,8304409.350000001,GEO,32.61,2017-02-27,26338216.53
5228,GEO,32.61,2017-02-27,26338216.53,GEO,22.17,2018-02-27,28611826.05
5229,GEO,22.0,2018-02-26,22577676.0,GEO,23.3,2019-02-26,8177437.9
5230,GEOS,43.43,2010-12-10,2592771.0,GEOS,40.08,2011-12-12,3178344.0
5231,GEOS,42.37,2012-01-27,749949.0,GEOS,93.86,2013-01-28,7030114.0
5232,GEOS,70.9,2012-12-12,45680870.0,GEOS,87.08,2013-12-12,18591580.0
5233,GEOS,100.51,2013-11-22,31720956.0,GEOS,29.25,2014-11-24,16573869.0
5234,GEOS,29.95,2014-11-21,27030234.4,GEOS,11.3,2015-11-23,3118393.2
5235,GEOS,13.5,2015-11-19,16931524.5,GEOS,19.69,2016-11-18,1599654.9800000002
5236,GEOS,20.6,2016-11-17,1897589.6,GEOS,15.49,2017-11-17,351049.87
5237,GEOS,14.78,2017-12-01,1485109.18,GEOS,15.74,2018-12-03,1080598.22
5238,GEOS,13.77,2018-11-16,1034732.88,GEOS,13.48,2019-11-18,325649.84
5239,GERN,4.85,2011-02-25,5766650.0,GERN,2.02,2012-02-27,1292194.0
5240,GERN,1.77,2012-03-27,1020582.0,GERN,1.08,2013-03-27,627696.0
5241,GERN,1.25,2013-03-15,3821125.0,GERN,1.82,2014-03-17,14007812.0
5242,GERN,1.82,2014-03-17,14007812.0,GERN,4.05,2015-03-17,16547838.299999999
5243,GERN,4.13,2015-03-11,63385542.57,GERN,2.84,2016-03-10,4382977.68
5244,GERN,2.84,2016-03-10,4382977.68,GERN,2.12,2017-03-10,2409657.72
5245,GERN,2.19,2017-03-01,4604400.54,GERN,2.34,2018-03-01,4961981.699999999
5246,GERN,3.55,2018-03-16,37240565.0,GERN,1.68,2019-03-18,4618608.96
5247,GES,45.32,2011-03-07,39097564.0,GES,34.39,2012-03-06,22154038.0
5248,GES,34.11,2012-03-07,21830400.0,GES,27.7,2013-03-07,20564480.0
5249,GES,27.59,2013-02-28,18626009.0,GES,30.47,2014-02-28,10609654.0
5250,GES,30.47,2014-02-28,10609654.0,GES,18.11,2015-03-02,17385799.21
5251,GES,18.11,2015-03-02,17385799.21,GES,20.82,2016-02-29,30606316.080000002
5252,GES,20.82,2016-02-29,30606316.080000002,GES,12.82,2017-02-28,21484435.46
5253,GES,12.82,2017-02-28,21484435.46,GES,15.93,2018-02-28,24470710.2
5254,GES,15.93,2018-02-28,24470710.2,GES,22.1,2019-02-28,16115209.500000002
5255,GFF,12.65,2010-11-18,4665320.0,GFF,8.45,2011-11-18,3325074.9999999995
5256,GFF,8.45,2011-11-18,3325074.9999999995,GFF,8.59,2012-11-19,1173394.0
5257,GFF,8.1,2012-11-16,1127520.0,GFF,13.25,2013-11-18,1886800.0
5258,GFF,13.03,2013-11-15,4142237.0,GFF,12.67,2014-11-17,1198949.43
5259,GFF,12.49,2014-11-13,1419925.6500000001,GFF,16.5,2015-11-13,4458547.5
5260,GFF,17.11,2015-11-12,2427532.58,GFF,18.05,2016-11-11,12936362.8
5261,GFF,19.75,2016-11-17,7059440.0,GFF,23.4,2017-11-17,3241344.5999999996
5262,GFF,22.5,2017-11-20,1973385.0,GFF,11.99,2018-11-20,2587657.82
5263,GFF,12.14,2018-11-19,5032637.0,GFF,22.56,2019-11-19,4448877.12
5264,GGG,9.16,2010-02-18,1974896.0,GGG,14.28,2011-02-18,4749528.0
5265,GGG,14.01,2011-02-22,5262156.0,GGG,16.64,2012-02-22,4121728.0
5266,GGG,16.59,2012-02-21,5473041.0,GGG,19.65,2013-02-20,9097950.0
5267,GGG,19.56,2013-02-19,6220080.0,GGG,25.44,2014-02-19,7718496.0
5268,GGG,25.14,2014-02-18,10382820.0,GGG,24.98,2015-02-18,4378244.6
5269,GGG,25.05,2015-02-17,4587982.65,GGG,25.09,2016-02-17,14673936.68
5270,GGG,24.41,2016-02-16,7217768.49,GGG,30.19,2017-02-15,4435877.08
5271,GGG,30.43,2017-02-21,6719187.4399999995,GGG,43.94,2018-02-21,39365450.54
5272,GGG,46.9,2018-04-23,11981214.7,GGG,53.09,2019-04-23,38988924.370000005
5273,GHC,434.0,2010-03-02,25432400.0,GHC,431.0,2011-03-02,21291400.0
5274,GHC,431.0,2011-03-02,21291400.0,GHC,394.5,2012-03-01,9073500.0
5275,GHC,390.43,2012-02-29,12884190.0,GHC,402.45,2013-02-28,9296595.0
5276,GHC,402.45,2013-02-28,9296595.0,GHC,724.76,2014-02-28,23772128.0
5277,GHC,724.76,2014-02-28,23772128.0,GHC,991.07,2015-03-02,79843572.41000001
5278,GHC,983.94,2015-02-27,16362922.200000001,GHC,485.25,2016-02-29,18181832.25
5279,GHC,503.99,2016-02-26,19003446.94,GHC,534.0,2017-02-27,19941696.0
5280,GHC,528.85,2017-02-24,10922339.05,GHC,596.0,2018-02-26,20886820.0
5281,GHC,589.75,2018-02-23,5801370.75,GHC,682.8,2019-02-25,19692634.799999997
5282,GHDX,25.68,2011-03-11,2344584.0,GHDX,31.63,2012-03-12,4425037.0
5283,GHDX,32.01,2012-03-14,3693954.0,GHDX,29.12,2013-03-14,3319680.0
5284,GHDX,29.18,2013-03-15,11604886.0,GHDX,29.21,2014-03-17,4907280.0
5285,GHDX,28.81,2014-03-11,5727428.0,GHDX,31.69,2015-03-11,3755581.9000000004
5286,GHDX,32.51,2015-03-12,2891959.5599999996,GHDX,24.93,2016-03-11,5078963.97
5287,GHDX,26.11,2016-03-09,4261439.21,GHDX,31.74,2017-03-09,7438618.14
5288,GHDX,31.25,2017-03-15,2538093.75,GHDX,31.91,2018-03-15,4865349.61
5289,GHDX,32.51,2018-03-14,6968193.399999999,GHDX,76.19,2019-03-14,31652221.22
5290,GIII,13.46,2012-04-11,2706806.0,GIII,19.77,2013-04-11,4386963.0
5291,GIII,19.86,2013-04-12,1841022.0,GIII,36.38,2014-04-14,4292840.0
5292,GIII,35.12,2014-03-31,7241743.999999999,GIII,56.05,2015-03-31,15471145.2
5293,GIII,56.11,2015-03-30,7202391.82,GIII,45.55,2016-03-29,46444829.75
5294,GIII,45.55,2016-03-29,46444829.75,GIII,20.11,2017-03-29,30856039.93
5295,GIII,22.01,2017-04-03,20103207.67,GIII,36.22,2018-04-03,28423319.02
5296,GIII,37.59,2018-04-02,24753616.44,GIII,40.79,2019-04-02,16568286.15
5297,GILD,23.0,2009-02-27,368193200.0,GILD,24.0,2010-03-01,224668800.0
5298,GILD,24.0,2010-03-01,224668800.0,GILD,19.55,2011-03-01,113000955.0
5299,GILD,19.61,2011-02-28,136575806.0,GILD,22.65,2012-02-28,202352835.0
5300,GILD,22.39,2012-02-23,253356284.0,GILD,41.66,2013-02-22,255738241.99999997
5301,GILD,42.39,2013-02-27,338526540.0,GILD,83.65,2014-02-27,920476235.0000001
5302,GILD,84.14,2014-02-25,702678382.0,GILD,104.84,2015-02-25,762203259.88
5303,GILD,104.84,2015-02-25,762203259.88,GILD,90.0,2016-02-25,825431850.0
5304,GILD,87.41,2016-02-24,728861467.02,GILD,68.74,2017-02-23,517547515.65999997
5305,GILD,69.82,2017-02-27,443647311.55999994,GILD,81.78,2018-02-27,501797173.2
5306,GILD,81.78,2018-02-27,501797173.2,GILD,65.11,2019-02-27,497793231.09
5307,GIMO,34.4,2014-03-13,10148000.0,GIMO,21.66,2015-03-13,3856779.6
5308,GIMO,21.52,2015-03-09,12266464.56,GIMO,28.4,2016-03-08,12158125.2
5309,GIMO,24.27,2016-02-24,16285485.51,GIMO,35.9,2017-02-23,37017674.699999996
5310,GIS,29.29,2009-07-13,89694767.0,GIS,36.38,2010-07-13,148761458.0
5311,GIS,36.64,2010-07-09,221587728.0,GIS,36.6,2011-07-11,158628060.0
5312,GIS,36.9,2011-07-08,175942890.0,GIS,38.8,2012-07-09,156441600.0
5313,GIS,39.0,2012-07-03,115393200.0,GIS,49.12,2013-07-03,105357488.0
5314,GIS,49.12,2013-07-03,105357488.0,GIS,53.36,2014-07-03,158751336.0
5315,GIS,53.36,2014-07-03,158751336.0,GIS,56.91,2015-07-06,197405310.48
5316,GIS,56.91,2015-07-06,197405310.48,GIS,71.88,2016-07-05,345451686.0
5317,GIS,68.0,2016-06-30,841837620.0,GIS,55.11,2017-06-30,232862951.31
5318,GIS,56.4,2017-06-29,369922185.59999996,GIS,44.71,2018-06-29,292704477.14
5319,GIS,44.71,2018-06-29,292704477.14,GIS,52.89,2019-07-01,304459645.41
5320,GLBL,4.15,2016-09-23,4389886.600000001,GLBL,4.75,2017-09-25,2354565.5
5321,GLGI,0.39,2017-08-25,64724.79,GLGI,0.63,2018-08-27,90762.21
5322,GLPI,34.47,2014-02-03,40092057.0,GLPI,32.75,2015-02-02,20567949.75
5323,GLPI,33.48,2015-02-09,23415510.24,GLPI,25.95,2016-02-09,26316543.75
5324,GLPI,25.54,2016-02-22,30403863.14,GLPI,31.85,2017-02-21,17420389.35
5325,GLPI,32.15,2017-02-22,17962848.0,GLPI,33.48,2018-02-22,29051868.24
5326,GLPI,34.35,2018-05-04,30063120.0,GLPI,40.19,2019-05-06,33354926.889999997
5327,GLUU,3.84,2011-03-21,4013952.0,GLUU,3.95,2012-03-20,3498120.0
5328,GLUU,4.14,2012-03-14,3390245.9999999995,GLUU,2.83,2013-03-14,13989256.0
5329,GLUU,2.5,2013-02-11,6697500.0,GLUU,4.94,2014-02-10,21077498.0
5330,GLUU,5.37,2014-03-14,24860952.0,GLUU,4.65,2015-03-16,5955454.95
5331,GLUU,4.72,2015-03-13,10044801.92,GLUU,3.23,2016-03-14,10977100.09
5332,GLUU,3.17,2016-03-04,20742723.82,GLUU,1.91,2017-03-06,7955165.279999999
5333,GLUU,1.98,2017-03-10,8330968.8,GLUU,4.04,2018-03-12,5490166.08
5334,GLUU,4.02,2018-03-09,4156909.1399999997,GLUU,8.88,2019-03-11,11534116.56
